timestamp,open,high,low,close,volume
2020-02-18 16:00:00,187.3900,187.5100,187.1600,187.2200,900268
2020-02-18 15:55:00,187.3149,187.5916,187.3105,187.3899,607133
2020-02-18 15:50:00,187.4100,187.4500,187.3150,187.3150,315545
2020-02-18 15:45:00,187.3600,187.4500,187.2200,187.4111,294071
2020-02-18 15:40:00,187.4558,187.5000,187.2800,187.3534,219125
2020-02-18 15:35:00,187.4350,187.5500,187.4050,187.4517,842100
2020-02-18 15:30:00,187.4600,187.5600,187.4350,187.4431,194048
2020-02-18 15:25:00,187.4500,187.5099,187.3500,187.4620,189260
2020-02-18 15:20:00,187.6700,187.7000,187.4400,187.4550,259307
2020-02-18 15:15:00,187.3700,187.6900,187.3603,187.6650,346628
2020-02-18 15:10:00,187.3800,187.4600,187.3450,187.3700,189115
2020-02-18 15:05:00,187.3900,187.4410,187.3300,187.3800,186068
2020-02-18 15:00:00,187.3400,187.4100,187.3400,187.3900,229857
2020-02-18 14:55:00,187.1700,187.4000,187.1700,187.3400,269548
2020-02-18 14:50:00,187.0250,187.2500,186.9900,187.1700,236855
2020-02-18 14:45:00,186.8700,187.0270,186.8400,187.0266,228591
2020-02-18 14:40:00,186.9547,186.9600,186.8750,186.8750,149863
2020-02-18 14:35:00,186.9900,187.0000,186.8900,186.9500,278538
2020-02-18 14:30:00,186.8800,187.0300,186.8300,187.0000,266598
2020-02-18 14:25:00,186.6650,186.8700,186.6500,186.8700,239532
2020-02-18 14:20:00,186.4483,186.7400,186.4400,186.6650,210226
2020-02-18 14:15:00,186.3723,186.4530,186.3700,186.4500,111021
2020-02-18 14:10:00,186.4200,186.5500,186.3600,186.3766,200186
2020-02-18 14:05:00,186.5600,186.5600,186.4200,186.4200,95710
2020-02-18 14:00:00,186.4900,186.6300,186.4400,186.5500,143558
2020-02-18 13:55:00,186.7600,186.7650,186.4600,186.4850,194742
2020-02-18 13:50:00,186.7450,186.9300,186.7300,186.7500,279447
2020-02-18 13:45:00,186.7200,186.8200,186.7150,186.7401,161033
2020-02-18 13:40:00,186.7400,186.7500,186.6350,186.7150,161970
2020-02-18 13:35:00,186.7150,186.8570,186.6728,186.7301,170173
2020-02-18 13:30:00,186.7700,186.7710,186.7110,186.7113,120482
2020-02-18 13:25:00,186.8050,186.8400,186.7000,186.7694,252501
2020-02-18 13:20:00,187.0400,187.0699,186.7900,186.8050,158293
2020-02-18 13:15:00,187.0100,187.0700,186.9500,187.0400,185558
2020-02-18 13:10:00,186.6900,187.0200,186.6900,187.0200,177215
2020-02-18 13:05:00,186.6400,186.7853,186.6016,186.6900,110210
2020-02-18 13:00:00,186.6900,186.7700,186.6470,186.6500,94252
2020-02-18 12:55:00,186.8250,186.8250,186.6100,186.6700,132118
2020-02-18 12:50:00,186.7769,186.8450,186.7530,186.8251,149115
2020-02-18 12:45:00,186.8600,186.9600,186.7700,186.7750,180787
2020-02-18 12:40:00,186.6600,186.8800,186.6300,186.8553,226154
2020-02-18 12:35:00,186.5300,186.6995,186.5300,186.6650,174767
2020-02-18 12:30:00,186.4800,186.5900,186.4300,186.5250,140498
2020-02-18 12:25:00,186.4300,186.5600,186.4001,186.4750,130381
2020-02-18 12:20:00,186.5450,186.5764,186.4100,186.4280,138611
2020-02-18 12:15:00,186.4059,186.5850,186.4059,186.5500,197579
2020-02-18 12:10:00,186.3700,186.4800,186.2600,186.4000,208175
2020-02-18 12:05:00,186.4149,186.5099,186.2643,186.3522,228853
2020-02-18 12:00:00,186.7000,186.7300,186.3900,186.4100,218317
2020-02-18 11:55:00,186.2777,186.8300,186.2741,186.6931,299262
2020-02-18 11:50:00,186.1601,186.2800,186.0743,186.2700,234214
2020-02-18 11:45:00,186.3350,186.4000,186.1600,186.1627,270257
2020-02-18 11:40:00,186.4400,186.6000,186.3300,186.3300,259558
2020-02-18 11:35:00,186.3350,186.5793,186.3300,186.4400,288795
2020-02-18 11:30:00,186.6724,186.7100,186.2900,186.3400,501211
2020-02-18 11:25:00,186.7800,186.9100,186.6500,186.6800,494139
2020-02-18 11:20:00,186.6900,186.9850,186.6600,186.7800,467967
2020-02-18 11:15:00,186.9000,186.9500,186.6700,186.6900,204966
2020-02-18 11:10:00,187.0200,187.0200,186.8200,186.9000,224766
2020-02-18 11:05:00,186.8097,187.0300,186.6950,187.0200,247929
2020-02-18 11:00:00,186.8900,187.0500,186.8100,186.8100,256196
2020-02-18 10:55:00,186.8600,186.9600,186.8400,186.8864,232002
2020-02-18 10:50:00,186.9300,187.0110,186.7300,186.8600,318075
2020-02-18 10:45:00,186.7730,187.1119,186.7516,186.9330,327344
2020-02-18 10:40:00,186.9000,187.0600,186.6100,186.7800,375941
2020-02-18 10:35:00,186.5531,186.9800,186.5500,186.9000,410730
2020-02-18 10:30:00,187.0800,187.1300,186.5000,186.5600,597712
2020-02-18 10:25:00,187.4400,187.4759,187.0800,187.0881,330858
2020-02-18 10:20:00,187.3975,187.6196,187.2292,187.4475,448040
2020-02-18 10:15:00,187.4050,187.4650,187.3200,187.3900,547081
2020-02-18 10:10:00,186.7900,187.4500,186.7000,187.4000,684022
2020-02-18 10:05:00,186.9100,186.9790,186.6700,186.7900,540509
2020-02-18 10:00:00,186.4800,186.9200,186.3000,186.9200,532500
2020-02-18 09:55:00,186.2400,186.5200,186.0900,186.4800,521128
2020-02-18 09:50:00,186.2945,186.4300,186.0900,186.2459,478853
2020-02-18 09:45:00,186.3100,186.4300,186.2696,186.2696,556199
2020-02-18 09:40:00,186.1800,186.2980,186.0300,186.2400,801971
2020-02-18 09:35:00,185.5800,186.5400,185.5800,186.2200,2010060
2020-02-14 16:00:00,185.1200,185.3700,185.0800,185.3400,1362354
2020-02-14 15:55:00,184.9000,185.1950,184.7950,185.1300,856529
2020-02-14 15:50:00,184.7100,184.7950,184.7050,184.7950,347054
2020-02-14 15:45:00,184.7200,184.7500,184.6750,184.7050,184177
2020-02-14 15:40:00,184.6000,184.7300,184.5900,184.7300,223800
2020-02-14 15:35:00,184.5100,184.6500,184.4496,184.5900,166058
2020-02-14 15:30:00,184.6500,184.6500,184.4900,184.5100,135481
2020-02-14 15:25:00,184.4150,184.6700,184.3800,184.6598,161852
2020-02-14 15:20:00,184.4900,184.5500,184.3300,184.4300,179103
2020-02-14 15:15:00,184.6303,184.7000,184.4200,184.4900,256761
2020-02-14 15:10:00,184.6300,184.6400,184.5900,184.6400,135195
2020-02-14 15:05:00,184.7550,184.8050,184.5800,184.6200,167408
2020-02-14 15:00:00,184.7400,184.7850,184.7050,184.7500,152411
2020-02-14 14:55:00,184.6900,184.7500,184.6900,184.7451,106061
2020-02-14 14:50:00,184.7700,184.7900,184.6250,184.7050,164644
2020-02-14 14:45:00,184.7564,184.7750,184.6400,184.7750,125630
2020-02-14 14:40:00,184.7800,184.8100,184.7500,184.7500,196640
2020-02-14 14:35:00,184.5200,184.7900,184.5200,184.7900,203463
2020-02-14 14:30:00,184.3900,184.5851,184.3800,184.5200,136376
2020-02-14 14:25:00,184.1400,184.3954,184.1350,184.3818,134295
2020-02-14 14:20:00,184.3550,184.3550,184.0700,184.1400,194770
2020-02-14 14:15:00,184.5800,184.6100,184.3501,184.3569,148356
